,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
12,1274,136000,60,RL,63.0,10475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,624.0,Unf,624.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0,0,0,1,1,3,1,TA,6,Typ,0,0,Detchd,1993,Unf,2,576.0,TA,TA,Y,22,0,0,0,0,0,No,GdWo,No,0,3,2010,WD ,Normal
13,861,80000,30,RM,62.0,7404,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,861.0,Unf,861.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1920,Unf,2,288.0,TA,TA,N,0,0,128,0,0,0,No,No,No,0,11,2009,Oth,Normal
14,1394,159000,20,RL,,9500,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,1394.0,Unf,1394.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963,RFn,2,514.0,TA,TA,Y,0,76,0,0,185,0,No,No,No,0,7,2009,WD ,Normal
15,1536,214000,20,RL,70.0,9135,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1536.0,Unf,1536.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,0,1,0,2,0,3,1,Gd,7,Typ,0,0,Attchd,2002,RFn,2,532.0,TA,TA,Y,192,74,0,0,0,0,No,No,No,0,12,2008,WD ,Normal
16,1680,163000,60,RL,50.0,8480,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,886.0,Unf,886.0,284.0,886.0,GasA,Ex,Y,SBrkr,886,794,0,0,1,2,1,3,1,Gd,7,Typ,0,0,Attchd,1993,RFn,2,474.0,TA,TA,Y,144,96,0,0,0,0,No,No,No,0,10,2008,WD ,Normal
17,1274,203000,20,RL,68.0,8814,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,1274.0,Unf,1274.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,0,1,0,2,0,3,1,Gd,6,Typ,0,0,Attchd,2005,RFn,2,508.0,TA,TA,Y,264,98,0,0,0,0,No,No,No,0,1,2007,New,Partial
18,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,864.0,Unf,864.0,823.0,864.0,GasA,TA,N,FuseF,864,0,0,1,0,1,0,2,1,TA,5,Typ,0,0,No,0,0,0,0.0,0,No,N,0,0,100,0,0,0,No,No,No,0,9,2008,WD ,Normal
19,1610,205000,20,RL,,10603,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1610.0,Unf,1610.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610,0,0,1,0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977,RFn,2,480.0,TA,TA,Y,168,68,0,0,0,0,No,No,No,0,2,2010,WD ,Normal
20,1091,131250,80,RL,62.0,7706,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,384.0,GLQ,384.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,0,1,1,0,2,1,TA,5,Typ,0,0,Attchd,1993,Fin,1,429.0,TA,TA,Y,280,0,0,0,0,0,No,No,Shed,700,8,2009,WD ,Normal
21,1486,181000,20,RL,65.0,7441,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,1461.0,Unf,1461.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0,0,0,2,0,3,1,Gd,7,Typ,0,0,Attchd,2006,RFn,2,566.0,TA,TA,Y,0,32,0,0,0,0,No,No,No,0,6,2007,WD ,Normal
22,789,115000,20,RM,50.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,789.0,BLQ,789.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1948,Unf,1,250.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,4,2008,WD ,Partial
23,1092,98000,160,RM,21.0,1477,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,546.0,Unf,546.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,0,0,2,1,3,1,TA,6,Typ,0,0,No,0,0,0,0.0,0,No,Y,187,0,0,0,0,0,No,No,No,0,3,2008,WD ,Normal
24,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,1240.0,Unf,1240.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0,0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950,Unf,4,864.0,TA,TA,N,181,0,386,0,0,0,No,No,No,0,5,2009,WD ,Normal
25,1092,105500,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,525.0,Unf,525.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0,0,1,1,3,1,TA,6,Typ,0,0,Detchd,1997,Unf,1,320.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,3,2010,WD ,Normal
26,1458,168165,60,RL,58.0,13204,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,608.0,Unf,608.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0,0,2,0,3,1,Gd,6,Typ,0,0,BuiltIn,2007,Fin,2,454.0,TA,TA,Y,100,33,0,0,0,0,No,No,No,0,5,2007,New,Partial
27,1466,201000,20,RL,73.0,8925,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1466.0,Unf,1466.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0,0,2,0,3,1,Gd,7,Typ,0,0,Attchd,2007,Fin,3,610.0,TA,TA,Y,100,18,0,0,0,0,No,No,No,0,7,2009,WD ,Normal
28,1573,177500,160,FV,,2117,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,756.0,Unf,756.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0,0,2,1,3,1,Gd,5,Typ,0,0,Detchd,2000,Unf,2,440.0,TA,TA,Y,0,32,0,0,0,0,No,No,No,0,6,2010,WD ,Normal
29,2090,200000,60,RL,,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,1107.0,BLQ,1107.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484.0,TA,TA,Y,235,204,228,0,0,0,No,No,Shed,350,11,2009,WD ,Normal
30,2046,450000,20,RL,105.0,15431,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1994.0,Unf,1994.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1,0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005,Fin,3,878.0,TA,TA,Y,188,65,0,0,175,0,No,No,No,0,8,2007,WD ,Normal
31,886,91300,30,RM,50.0,5784,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,190.0,Unf,190.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0,0,1,0,2,1,TA,4,Typ,0,0,Attchd,1938,Unf,1,273.0,TA,TA,Y,144,20,80,0,0,0,No,No,No,0,12,2009,WD ,Normal
32,1258,173500,20,RL,64.0,7697,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,1246.0,Unf,1246.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0,0,2,0,3,1,Gd,6,Typ,0,0,Attchd,2007,RFn,2,462.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,8,2007,New,Partial
33,1324,199500,20,RL,100.0,18494,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,1324.0,Unf,1324.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,0,0,2,0,3,1,Gd,6,Typ,0,0,Attchd,2005,Fin,2,430.0,TA,TA,Y,36,23,0,0,0,0,No,No,No,0,1,2010,WD ,Normal
34,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,833.0,Unf,833.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0,0,0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1923.0,Unf,2,370.0,TA,TA,N,0,0,0,0,220,0,No,No,No,0,6,2008,WD ,Normal
35,1269,155000,20,RL,70.0,7931,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,1269.0,LwQ,1269.0,363.0,1269.0,GasA,TA,Y,FuseA,1269,0,0,0,0,1,1,3,1,TA,6,Typ,1,Fa,Detchd,1964,Unf,1,308.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,6,2008,WD ,Normal
36,1346,220000,20,RL,88.0,11896,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,1336.0,Unf,1336.0,1258.0,1336.0,GasA,Ex,Y,SBrkr,1346,0,0,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2008,Fin,3,660.0,TA,TA,Y,100,48,0,0,0,0,No,No,No,0,5,2010,WD ,Normal
37,1749,196000,60,RL,68.0,9272,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,842.0,Unf,842.0,342.0,842.0,GasA,Ex,Y,SBrkr,856,893,0,0,0,2,1,3,1,Gd,7,Typ,0,0,Attchd,1999,RFn,2,515.0,TA,TA,Y,140,85,0,0,0,0,No,No,No,0,6,2006,WD ,Normal
38,492,61500,30,RM,52.0,7830,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,492.0,Unf,492.0,76.0,492.0,GasA,TA,Y,SBrkr,492,0,0,1,0,1,0,1,1,TA,3,Typ,0,0,Detchd,1921,Unf,1,200.0,Fa,TA,N,0,0,78,0,0,0,No,No,No,0,6,2006,WD ,Normal
39,2030,195000,60,RL,,12046,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,LwQ,848.0,Unf,848.0,692.0,848.0,GasA,TA,Y,SBrkr,1118,912,0,0,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1976,Fin,2,551.0,TA,TA,Y,0,224,0,0,0,0,No,No,No,0,6,2007,WD ,Normal
40,988,129250,20,RL,65.0,7150,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,988.0,Unf,988.0,263.0,988.0,GasA,TA,Y,SBrkr,988,0,0,1,0,1,0,3,1,TA,5,Typ,0,0,Detchd,1974,Unf,1,360.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,11,2007,WD ,Normal
41,2172,291000,60,RL,,11000,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,Unf,1519.0,Unf,1519.0,1519.0,1519.0,GasA,Ex,Y,SBrkr,1533,639,0,0,0,2,1,4,1,Ex,8,Typ,1,TA,BuiltIn,2000,RFn,3,687.0,TA,TA,Y,162,153,0,0,0,0,No,No,No,0,6,2008,WD ,Normal
42,1080,134000,20,RL,71.0,9187,Pave,None,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,1084.0,Unf,1084.0,748.0,1084.0,GasA,TA,Y,SBrkr,1080,0,0,0,0,1,1,3,1,TA,5,Typ,0,0,Attchd,1983,Unf,2,484.0,TA,TA,Y,120,0,158,0,0,0,No,No,No,0,6,2007,WD ,Normal
43,1312,186000,20,RL,76.0,11355,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125.0,TA,TA,CBlock,TA,TA,No,BLQ,1312.0,Unf,1312.0,675.0,1312.0,GasA,Ex,Y,SBrkr,1312,0,0,0,0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,1958,RFn,2,495.0,TA,TA,Y,0,304,144,0,0,0,No,MnPrv,Othr,6500,4,2008,WD ,Normal
44,925,133500,20,RL,,8638,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,925.0,Unf,925.0,744.0,925.0,GasA,Gd,Y,SBrkr,925,0,0,1,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1990,Unf,2,484.0,TA,TA,Y,203,74,0,0,0,0,No,No,No,0,10,2006,WD ,Normal
45,1534,148000,70,RL,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,1999,Gable,CompShg,Wd Sdng,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Unf,736.0,Unf,736.0,736.0,736.0,GasA,Ex,Y,SBrkr,751,783,0,0,0,1,1,3,1,Gd,6,Typ,0,0,No,0,0,0,0.0,0,No,N,0,112,0,0,0,0,No,No,No,0,7,2007,WD ,Normal
46,2376,325300,60,RL,101.0,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,1158.0,Unf,1158.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158,1218,0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853.0,TA,TA,Y,240,154,0,0,0,0,No,No,No,0,11,2006,New,Partial
47,1959,215000,60,RL,59.0,11796,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,847.0,Unf,847.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,1112,0,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2004,Fin,2,434.0,TA,TA,Y,100,48,0,0,0,0,No,No,No,0,7,2007,WD ,Normal
48,1716,131000,50,RL,60.0,11409,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,768.0,Unf,768.0,476.0,768.0,GasA,Gd,Y,SBrkr,1148,568,0,0,0,1,1,3,1,TA,8,Min2,1,Gd,Attchd,1949,Unf,1,281.0,TA,TA,Y,0,0,0,0,160,0,No,No,No,0,1,2009,WD ,Normal
