GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SaleType,BsmtNumBath,TotalNumBath
1274,136000,60,RL,63.0,10475,Pave,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,3,458.0,1,166.0,624.0,GasA,4,Y,5,624,650,3,1,3,6,8,0,0,Detchd,1993.0,1,2.0,576.0,3,3,3,22,0,2,3,2010,WD ,0.0,1.5
861,80000,30,RM,62.0,7404,Pave,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,861.0,861.0,GasA,3,Y,5,861,0,2,1,3,5,8,0,0,Detchd,1920.0,1,2.0,288.0,3,3,1,0,0,0,11,2009,Oth,0.0,1.0
1394,159000,20,RL,75.0,9500,Pave,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4,3,1,4,609.0,1,785.0,1394.0,GasA,4,Y,5,1394,0,3,1,3,6,8,2,4,Attchd,1963.0,2,2.0,514.0,3,3,3,0,76,0,7,2009,WD ,1.0,1.5
1536,214000,20,RL,70.0,9135,Pave,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,4,3,PConc,4,3,3,6,810.0,1,726.0,1536.0,GasA,5,Y,5,1536,0,3,1,4,7,8,0,0,Attchd,2002.0,2,2.0,532.0,3,3,3,192,74,0,12,2008,WD ,1.0,2.0
1680,163000,60,RL,50.0,8480,Pave,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4,3,1,6,602.0,1,284.0,886.0,GasA,5,Y,5,886,794,3,1,4,7,8,0,0,Attchd,1993.0,2,2.0,474.0,3,3,3,144,96,0,10,2008,WD ,0.5,2.5
864,67000,30,RL,45.0,8248,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,1,4,41.0,1,823.0,864.0,GasA,3,N,3,864,0,2,1,3,5,8,0,0,None,0.0,0,0.0,0.0,0,0,1,0,0,0,9,2008,WD ,1.0,1.0
1610,205000,20,RL,72.0,10603,Pave,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,3,3,PConc,3,3,2,5,1200.0,1,410.0,1610.0,GasA,4,Y,5,1610,0,3,1,4,6,8,2,3,Attchd,1977.0,2,2.0,480.0,3,3,3,168,68,0,2,2010,WD ,1.0,2.0
1091,131250,80,RL,62.0,7706,Pave,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,3,3,114.0,6,0.0,384.0,GasA,5,Y,5,1091,0,2,1,3,5,8,0,0,Attchd,1993.0,3,1.0,429.0,3,3,3,280,0,0,8,2009,WD ,0.5,1.0
1486,181000,20,RL,65.0,7441,Pave,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4,3,1,1,0.0,1,1461.0,1461.0,GasA,5,Y,5,1486,0,3,1,4,7,8,0,0,Attchd,2006.0,2,2.0,566.0,3,3,3,0,32,0,6,2007,WD ,0.0,2.0
1092,98000,160,RM,21.0,1477,Pave,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,1,6,358.0,1,188.0,546.0,GasA,5,Y,5,546,546,3,1,3,6,8,0,0,None,0.0,0,0.0,0.0,0,0,3,187,0,0,3,2008,WD ,0.0,2.5
2640,265979,70,RM,65.0,11700,Pave,3,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,4,3,Stone,3,2,1,1,0.0,1,1240.0,1240.0,GasW,3,N,5,1320,1320,4,1,4,8,8,1,4,Detchd,1950.0,1,4.0,864.0,3,3,1,181,0,0,5,2009,WD ,0.0,1.5
1092,105500,160,RM,21.0,1680,Pave,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,1,3,300.0,1,225.0,525.0,GasA,3,Y,5,525,567,3,1,3,6,8,0,0,Detchd,1997.0,1,1.0,320.0,3,3,3,0,0,0,3,2010,WD ,0.0,1.5
1466,201000,20,RL,73.0,8925,Pave,3,HLS,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,16.0,1,1450.0,1466.0,GasA,5,Y,5,1466,0,3,1,4,7,8,0,0,Attchd,2007.0,3,3.0,610.0,3,3,3,100,18,0,7,2009,WD ,0.0,2.0
1573,177500,160,FV,50.0,2117,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,4,3,PConc,4,3,1,6,378.0,1,378.0,756.0,GasA,5,Y,5,769,804,3,1,4,5,8,0,0,Detchd,2000.0,1,2.0,440.0,3,3,3,0,32,0,6,2010,WD ,0.0,2.5
2090,200000,60,RL,74.0,10382,Pave,3,Lvl,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859.0,4,216.0,1107.0,GasA,5,Y,5,1107,983,3,1,3,7,8,2,3,Attchd,1973.0,2,2.0,484.0,3,3,3,235,204,0,11,2009,WD ,1.0,2.5
2046,450000,20,RL,105.0,15431,Pave,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,5,3,PConc,5,3,4,6,1430.0,1,564.0,1994.0,GasA,5,Y,5,2046,0,2,1,5,7,8,2,4,Attchd,2005.0,3,3.0,878.0,3,3,3,188,65,0,8,2007,WD ,1.0,2.5
886,91300,30,RM,50.0,5784,Pave,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,190.0,190.0,GasA,4,Y,4,886,0,2,1,3,4,8,0,0,Attchd,1938.0,1,1.0,273.0,3,3,3,144,20,0,12,2009,WD ,0.0,1.0
1324,199500,20,RL,100.0,18494,Pave,3,Lvl,4,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,1324.0,1324.0,GasA,5,Y,5,1324,0,3,1,4,6,8,0,0,Attchd,2005.0,3,2.0,430.0,3,3,3,36,23,0,1,2010,WD ,0.0,2.0
1848,207000,50,RL,64.0,13053,Pave,4,Bnk,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,833.0,833.0,GasA,4,Y,5,1053,795,4,1,4,8,8,1,4,Detchd,1923.0,1,2.0,370.0,3,3,1,0,0,0,6,2008,WD ,0.0,1.5
1269,155000,20,RL,70.0,7931,Pave,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,374.0,2,363.0,1269.0,GasA,3,Y,4,1269,0,3,1,3,6,8,1,2,Detchd,1964.0,1,1.0,308.0,3,3,3,0,0,0,6,2008,WD ,0.0,1.5
1346,220000,20,RL,88.0,11896,Pave,3,Lvl,4,Corner,3,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,4,3,PConc,4,3,1,6,78.0,1,1258.0,1336.0,GasA,5,Y,5,1346,0,3,1,4,6,8,1,3,Attchd,2008.0,3,3.0,660.0,3,3,3,100,48,0,5,2010,WD ,1.0,2.0
1749,196000,60,RL,68.0,9272,Pave,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,500.0,1,342.0,842.0,GasA,5,Y,5,856,893,3,1,4,7,8,0,0,Attchd,1999.0,2,2.0,515.0,3,3,3,140,85,0,6,2006,WD ,0.0,2.5
492,61500,30,RM,52.0,7830,Pave,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,2,3,1,2,416.0,1,76.0,492.0,GasA,3,Y,5,492,0,1,1,3,3,8,0,0,Detchd,1921.0,1,1.0,200.0,2,3,1,0,0,0,6,2006,WD ,1.0,1.0
2030,195000,60,RL,75.0,12046,Pave,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,3,3,CBlock,3,3,1,2,156.0,1,692.0,848.0,GasA,3,Y,5,1118,912,4,1,4,8,8,1,3,Attchd,1976.0,3,2.0,551.0,3,3,3,0,224,0,6,2007,WD ,0.0,2.5
988,129250,20,RL,65.0,7150,Pave,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,3,3,CBlock,3,3,1,4,725.0,1,263.0,988.0,GasA,3,Y,5,988,0,3,1,3,5,8,0,0,Detchd,1974.0,1,1.0,360.0,3,3,3,0,0,0,11,2007,WD ,1.0,1.0
2172,291000,60,RL,79.0,11000,Pave,4,Lvl,4,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,4,3,PConc,5,3,2,1,0.0,1,1519.0,1519.0,GasA,5,Y,5,1533,639,4,1,5,8,8,1,3,BuiltIn,2000.0,2,3.0,687.0,3,3,3,162,153,0,6,2008,WD ,0.0,2.5
1080,134000,20,RL,71.0,9187,Pave,4,Bnk,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,3,3,1,5,336.0,1,748.0,1084.0,GasA,3,Y,5,1080,0,3,1,3,5,8,0,0,Attchd,1983.0,1,2.0,484.0,3,3,3,120,0,0,6,2007,WD ,0.0,1.5
1312,186000,20,RL,76.0,11355,Pave,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125.0,3,3,CBlock,3,3,1,4,637.0,1,675.0,1312.0,GasA,5,Y,5,1312,0,3,1,3,6,8,1,4,Attchd,1958.0,2,2.0,495.0,3,3,3,0,304,3,4,2008,WD ,0.0,1.5
925,133500,20,RL,69.0,8638,Pave,3,Lvl,4,Inside,3,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,3,3,1,5,181.0,1,744.0,925.0,GasA,4,Y,5,925,0,2,1,3,5,8,0,0,Detchd,1990.0,1,2.0,484.0,3,3,3,203,74,0,10,2006,WD ,1.0,1.0
1534,148000,70,RL,60.0,10800,Pave,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,1999,Gable,CompShg,Wd Sdng,HdBoard,None,0.0,3,4,CBlock,4,3,3,1,0.0,1,736.0,736.0,GasA,5,Y,5,751,783,3,1,4,6,8,0,0,None,0.0,0,0.0,0.0,0,0,1,0,112,0,7,2007,WD ,0.0,1.5
1959,215000,60,RL,59.0,11796,Pave,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,1,0.0,1,847.0,847.0,GasA,5,Y,5,847,1112,4,1,4,8,8,1,4,BuiltIn,2004.0,3,2.0,434.0,3,3,3,100,48,0,7,2007,WD ,0.0,2.5
1716,131000,50,RL,60.0,11409,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,292.0,1,476.0,768.0,GasA,4,Y,5,1148,568,3,1,3,8,6,1,4,Attchd,1949.0,1,1.0,281.0,3,3,3,0,0,0,1,2009,WD ,0.0,1.5
936,109500,30,RM,56.0,4485,Pave,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,4,579.0,1,357.0,936.0,GasA,3,Y,5,936,0,2,1,3,5,8,1,4,None,0.0,0,0.0,0.0,0,0,2,51,0,3,5,2010,WD ,1.0,1.0
1230,110000,50,RM,60.0,10440,Pave,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,440.0,440.0,GasA,4,Y,5,682,548,2,1,3,5,8,0,0,Detchd,1966.0,1,2.0,440.0,3,3,3,74,0,3,5,2009,WD ,0.0,1.5
1422,179600,20,RL,63.0,8500,Pave,4,Lvl,4,FR2,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,106.0,4,3,PConc,4,3,3,1,0.0,1,1422.0,1422.0,GasA,5,Y,5,1422,0,3,1,4,7,8,0,0,Attchd,2004.0,2,2.0,626.0,3,3,3,192,60,0,11,2007,WD ,0.0,2.0
1641,140000,50,RL,70.0,10759,Pave,4,Lvl,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,4,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,1,2,190.0,5,0.0,1001.0,GasA,3,Y,5,1001,640,4,1,3,5,8,1,4,Detchd,1972.0,1,2.0,490.0,3,3,3,0,0,4,7,2008,WD ,0.0,2.0
1248,151500,20,RL,80.0,10800,Pave,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,88.0,3,3,CBlock,3,3,1,5,632.0,1,616.0,1248.0,GasA,5,Y,5,1248,0,3,1,3,6,8,0,0,Attchd,1960.0,1,1.0,286.0,3,3,3,0,0,3,5,2006,WD ,1.0,1.0
2418,341000,60,RL,96.0,10542,Pave,4,Lvl,4,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1994,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,651.0,4,3,PConc,4,3,4,6,1173.0,1,138.0,1311.0,GasA,5,Y,5,1325,1093,3,1,4,9,8,1,3,Attchd,1993.0,2,3.0,983.0,3,3,3,250,154,0,8,2008,WD ,1.0,2.5
1755,235000,60,RL,74.0,11949,Pave,4,Lvl,4,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,7,8,1991,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,4,PConc,4,3,1,6,601.0,5,158.0,975.0,GasA,5,Y,5,975,780,3,1,4,7,8,1,3,Attchd,1991.0,1,2.0,524.0,3,3,3,502,60,4,7,2009,WD ,0.5,2.5
672,72000,30,RM,61.0,8534,Pave,4,Low,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1Story,4,4,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,432.0,432.0,GasA,3,N,4,672,0,2,1,3,4,7,0,0,None,0.0,0,0.0,0.0,0,0,1,0,0,2,6,2006,WD ,0.0,1.0
1626,154000,50,RL,70.0,10512,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,6,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,491.0,1,497.0,988.0,GasA,5,Y,5,988,638,3,1,4,6,8,0,0,Attchd,1954.0,1,1.0,332.0,3,3,3,366,0,0,5,2007,WD ,0.0,1.5
894,128200,20,RL,75.0,10650,Pave,4,Lvl,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,4,3,2,182.0,5,0.0,894.0,GasA,3,Y,5,894,0,3,1,3,5,8,0,0,Attchd,1976.0,1,1.0,308.0,3,3,3,365,0,3,2,2010,WD ,1.0,1.0
2470,615000,20,RL,106.0,12720,Pave,4,HLS,4,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,MetalSd,MetalSd,Stone,680.0,5,3,PConc,5,3,4,6,2257.0,1,278.0,2535.0,GasA,5,Y,5,2470,0,1,1,5,7,8,2,4,Attchd,2003.0,3,3.0,789.0,3,3,3,154,65,0,2,2008,WD ,2.0,1.5
1174,158000,20,RL,77.0,12250,Pave,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,3,3,CBlock,4,3,2,5,781.0,1,83.0,864.0,GasA,5,Y,5,1174,0,3,1,3,5,8,0,0,Attchd,1978.0,1,2.0,528.0,3,3,3,211,0,0,5,2008,WD ,1.0,1.0
1324,254000,120,RL,48.0,6240,Pave,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,BrkFace,176.0,4,3,PConc,4,3,1,6,863.0,1,461.0,1324.0,GasA,5,Y,5,1324,0,2,1,4,6,8,1,4,Attchd,2006.0,3,2.0,550.0,3,3,3,192,38,0,12,2009,WD ,1.0,2.0
2447,169000,50,RL,50.0,9638,Pave,4,Lvl,4,Inside,3,SWISU,Feedr,Norm,1Fam,1.5Fin,6,7,1919,1990,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,804.0,804.0,GasA,5,Y,5,1699,748,4,1,4,10,6,1,4,Detchd,1969.0,1,1.0,336.0,3,3,3,272,0,0,3,2010,WD ,0.0,2.0
2199,284500,75,RL,84.0,9660,Pave,4,Lvl,4,Inside,3,NoRidge,Norm,Norm,1Fam,2.5Unf,8,5,1997,1997,Hip,CompShg,HdBoard,HdBoard,BrkFace,1290.0,4,3,PConc,4,3,1,1,0.0,1,1173.0,1173.0,GasA,5,Y,5,1182,1017,3,1,4,9,8,1,3,Attchd,1997.0,3,2.0,516.0,3,3,3,0,131,0,9,2008,WD ,0.0,2.5
1374,184500,80,RL,67.0,13300,Pave,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,326.0,1,58.0,384.0,GasA,5,Y,5,744,630,3,1,4,7,8,1,4,BuiltIn,2004.0,3,2.0,400.0,3,3,3,100,0,0,6,2010,WD ,1.0,2.5
1588,214000,20,RL,78.0,10264,Pave,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,183.0,4,3,PConc,4,3,3,5,1162.0,1,426.0,1588.0,GasA,5,Y,5,1588,0,3,1,4,6,8,0,0,Attchd,1999.0,2,2.0,472.0,3,3,3,158,29,0,8,2006,WD ,0.0,2.0
1464,282922,20,RL,49.0,15256,Pave,3,Lvl,4,CulDSac,3,Somerst,RRAn,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,84.0,4,3,PConc,4,3,4,6,929.0,1,556.0,1485.0,GasA,5,Y,5,1464,0,3,1,4,6,8,0,0,Attchd,2007.0,1,3.0,754.0,3,3,3,168,160,0,8,2007,WD ,1.0,2.0
1690,144000,75,RM,65.0,8850,Pave,3,Bnk,4,Corner,3,OldTown,Norm,Norm,1Fam,2.5Unf,7,6,1916,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,815.0,815.0,GasA,5,Y,5,815,875,3,1,3,7,8,1,4,Detchd,1916.0,1,1.0,225.0,3,3,3,0,0,0,7,2006,ConLw,0.0,1.0
1012,67500,30,RH,70.0,9800,Pave,4,Lvl,4,Corner,3,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,2,BrkTil,3,3,1,1,0.0,1,816.0,816.0,GasA,3,N,4,1012,0,2,1,3,5,8,0,0,Detchd,1920.0,1,1.0,429.0,3,3,3,121,0,0,4,2010,WD ,0.0,1.0
